ship_mode,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order ID,Order Date,,,
Second Class,Home Office,United States,Henderson,Kentucky,42420,South,FUR-TA-2670-396,Furniture,Tables,Eldon Fold N Roll Cart,1112.8997,1,0.2,343.4292,US-2020-330375,17-05-2021,,,
First Class,Consumer,United States,Houston,Texas,77036,Central,FUR-TA-8927-948,Furniture,Tables,3M Storage Bin,1257.8914,2,0.2,67.0387,US-2021-358800,10-01-2024,,,
First Class,Corporate,United States,Jacksonville,Florida,32216,South,FUR-TA-9114-849,Furniture,Tables,3M Storage Bin,1397.3371,6,ten_percent,656.6082,US-2022-177732,08-11-2020,,,
Second Class,Corporate,United States,Seattle,Washington,98103,West,TEC-MA-5178-643,Technology,Machines,Newell 322,2297.517,7,0.45,679.3786,US-2022-771030,20-12-2024,,,
First Class,Home Office,United States,Chicago,Illinois,60623,Central,FUR-TA-2233-715,Furniture,Tables,Logitech Wireless Mouse,495.0616,12,0.45,133.1428,US-2023-968413,21-05-2020,,,
Second Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-PA-4847-675,Office Supplies,Paper,Cisco IP Phone,2529.4628,11,0.2,-1438.4189,US-2022-177957,21-01-2021,,,
"First Class,Consumer,Unclosed quote without termination,Jacksonville,Florida,32216
Second Class,Consumer,United States,New York City,New York,10024,East,OFF-ST-8672-510,Office Supplies,Storage,Global Push Button Manager Chair,2520.9406,3,0.4,-49.2863,US-2020-978022,2021-04-16
Same Day,Consumer,United States,New York City,New York,10024,East,TEC-MA-4910-349,Technology,Machines,Belkin Surge Protector,1386.6407,14,0.2,-595.3791,US-2023-540769,2021-02-25
Same Day,Consumer,United States,Detroit,Michigan,48227,Central,TEC-PH-6705-783,Technology,Phones,Cisco IP Phone,$1200,7,0.15,-311.2325,US-2023-991192,2022-03-14
First Class,Corporate,United States,Fort Worth,Texas,76106,Central,TEC-MA-7039-912,Technology,Machines,3M Storage Bin,1183.9085,11,0.4,-28.0716,US-2023-289560,2021-01-05
Standard Class,Consumer,United States,Henderson,Kentucky,42420,South,OFF-BI-1320-943,Office Supplies,Binders,Xerox 1967,1527.1848,5,ten_percent,325.2061,US-2020-737336,2021-11-11
Standard Class,Corporate,United States,Fort Lauderdale,Florida,33311,South,FUR-FU-7828-205,Furniture,Furnishings,Newell 322,2763.422,2,0.6,-159.4437,US-2021-913201,2024-03-09
Standard Class,Consumer,United States,Houston,Texas,77036,Central,FUR-TA-7353-282,Furniture,Tables,Fellowes Binder,1856.1,12,0.15,809.5644,US-2022-209044,2023-03-08
Second Class,Consumer,United States,Dallas,Texas,75220,Central,FUR-FU-4441-958,Furniture,Furnishings,Bush Somerset Bookcase,49.5679,4,0,-28.797,US-2024-149117,2021-06-08
First Class,Consumer,United States,Columbus,Ohio,43229,East,FUR-CH-4490-648,Furniture,Chairs,Eldon Fold N Roll Cart,2118.0026,7,0.2,-271.9349,US-2023-543940,2023-02-27
Same Day,Consumer,United States,New York City,New York,10024,East,OFF-AR-2543-734,Office Supplies,Art,Fellowes Binder,2575.5937,12,0.45,613.3926,US-2021-880007,2020-04-07
Standard Class,Consumer,United States,Fort Worth,Texas,76106,Central,OFF-BI-3946-432,Office Supplies,Binders,Eldon Fold N Roll Cart,346.7263,12,0.2,122.9405,US-2021-743132,2024-10-28
First Class",Home Office,Unclosed quote without termination,Henderson,Kentucky,42420,,,,,,,,,,,,,,
Same Day,Corporate,United States,Los Angeles,California,90036,West,OFF-AP-6558-251,Office Supplies,Appliances,HP Officejet Printer,2113.2715,2,0.1,980.5833,US-2022-300282,14-03-2020,,,
Standard Class,Home Office,United States,Detroit,Michigan,48227,Central,OFF-PA-9400-397,Office Supplies,Paper,Eldon Fold N Roll Cart,299.6251,2,0,45.6058,US-2024-807544,18-05-2021,,,
Same Day,Home Office,United States,Philadelphia,Pennsylvania,19140,East,TEC-AC-8619-146,Technology,Accessories,Global Push Button Manager Chair,2567.6868,7,0.6,,,,,,
Same Day,Corporate,United States,Jacksonville,Florida,32216,South,TEC-CO-3838-773,Technology,Copiers,Xerox 1967,2914.9894,11,0.45,-1628.3823,US-2021-353292,23-02-2020,,,
First Class,Home Office,United States,San Francisco,California,94109,West,TEC-AC-4932-884,Technology,Accessories,HP Officejet Printer,1654.5618,13,0.45,197.9113,US-2021-346764,18-02-2020,,,
First Class,Corporate,United States,New York City,New York,10024,East,TEC-CO-3373-701,Technology,Copiers,Hon Deluxe Fabric Chair,116.2935,3,0.1,54.2902,US-2020-985142,26-11-2022,,,
Same Day,Consumer,United States,Jacksonville,Florida,32216,South,OFF-PA-9628-833,Office Supplies,Paper,Hon Deluxe Fabric Chair,1087.1433,1,0.2,444.1672,US-2020-958346,22-02-2024,,,
Second Class,Corporate,United States,Fort Worth,Texas,76106,Central,TEC-AC-9672-533,Technology,Accessories,Newell 322,841.884,14,0.2,236.8832,US-2020-768338,18-03-2022,,,
Same Day,Corporate,United States,Seattle,Washington,98103,West,FUR-CH-4466-613,Furniture,Chairs,Cisco IP Phone,885.2196,4,0.45,-305.0483,US-2022-425924,05-04-2023,,,
Standard Class,Consumer,United States,Houston,Texas,77036,Central,TEC-MA-4765-349,Technology,Machines,Bush Somerset Bookcase,2835.4251,3,0.1,1239.505,US-2021-246770,10-04-2022,,,
Second Class,Home Office,United States,Columbus,Ohio,43229,East,OFF-PA-7716-596,Office Supplies,Paper,Logitech Wireless Mouse,925.756,3,0.45,-186.8896,US-2022-123872,06-05-2023,,,
Standard Class,Corporate,United States,Henderson,Kentucky,42420,South,TEC-MA-2325-752,Technology,Machines,Cisco IP Phone,1508.5214,6,0.1,484.1792,US-2024-642353,23-05-2024,,,
First Class,Consumer,United States,Jacksonville,Florida,32216,South,TEC-MA-6288-863,Technology,Machines,Fellowes Binder,462.2137,9,0.4,-197.2908,US-2021-776386,18-06-2020,,,
Standard Class,Corporate,United States,Seattle,Washington,98103,West,OFF-AP-6803-956,Office Supplies,Appliances,Bush Somerset Bookcase,2560.4799,5,0.6,795.7906,US-2021-617515,01-01-2023,,,
Standard Class,Corporate,United States,New York City,New York,10024,East,OFF-BI-4932-647,Office Supplies,Binders,Newell 322,671.4141,14,0.3,-62.6368,US-2023-159758,08-11-2020,,,
Same Day,Home Office,United States,Seattle,Washington,98103,West,FUR-FU-2255-230,Furniture,Furnishings,Belkin Surge Protector,207.4934,10,0.1,-10.5706,US-2021-671536,02-03-2021,,,
First Class,Consumer,United States,Jacksonville,Florida,32216,South,FUR-CH-4622-202,Furniture,Chairs,Logitech Wireless Mouse,1047.6309,11,0.2,217.0057,US-2020-705141,27-11-2024,,,
Second Class,Consumer,United States,Houston,Texas,77036,Central,TEC-MA-4104-443,Technology,Machines,Eldon Fold N Roll Cart,1558.1681,1,0.6,54.5161,US-2020-435867,19-11-2024,,,
Second Class,Home Office,United States,Henderson,Kentucky,42420,South,OFF-AR-9842-119,Office Supplies,Art,Logitech Wireless Mouse,1427.6143,3,0.45,18.024,US-2020-832776,04-12-2024,,,
First Class,Home Office,United States,Seattle,Washington,98103,West,TEC-PH-2067-725,Technology,Phones,Newell 322,1405.0025,7,0.1,103.1707,US-2020-644013,14-02-2021,,,
Second Class,Corporate,United States,Houston,Texas,77036,Central,TEC-CO-7788-524,Technology,Copiers,Bretford Conference Table,1393.5641,12,0,379.3775,US-2020-103124,18-03-2020,,,
Standard Class,Corporate,United States,New York City,New York,N/A_ZIP,East,OFF-BI-2429-474,Office Supplies,Binders,Hon Deluxe Fabric Chair,1043.8268,14,0.1,-466.0419,US-2022-237955,08-05-2022,,,
Standard Class,Consumer,United States,Detroit,Michigan,48227,Central,OFF-AR-1293-220,Office Supplies,Art,Cisco IP Phone,845.5966,3,0,-89.7628,US-2020-314749,28-11-2022,,,
First Class,Home Office,United States,San Francisco,California,94109,West,FUR-BO-5978-220,Furniture,Bookcases,Eldon Fold N Roll Cart,1633.4511,2,0.45,-130.4297,US-2020-894570,13-09-2021,,,
Standard Class,Corporate,United States,Dallas,Texas,75220,Central,TEC-MA-2304-173,Technology,Machines,Logitech Wireless Mouse,2572.3895,14,0,260.0229,US-2021-601613,05-01-2021,,,
First Class,Consumer,United States,Jacksonville,Florida,32216,South,TEC-AC-9535-527,Technology,Accessories,Bush Somerset Bookcase,2899.9686,N/A,0.6,-736.8498,US-2020-274150,02-10-2020,,,
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,OFF-AP-4336-124,Office Supplies,Appliances,Global Push Button Manager Chair,2918.5499,4,0.2,641.1919,US-2020-277778,06-02-2022,,,
Same Day,Corporate,United States,Jacksonville,Florida,32216,South,FUR-TA-7807-859,Furniture,Tables,Apple iPhone,872.5513,13,0.1,-500.2063,US-2021-572500,02-03-2022,,,
First Class,Consumer,United States,Fort Worth,Texas,76106,Central,OFF-AR-5308-230,Office Supplies,Art,Xerox 1967,1575.9436,13,0.1,-298.1867,US-2024-934040,21-09-2020,,,
Same Day,Home Office,United States,Chicago,Illinois,60623,Central,OFF-BI-5201-371,Office Supplies,Binders,Logitech Wireless Mouse,2755.4154,4,0.4,-399.4132,US-2024-814084,01-12-2022,,,
Standard Class,Consumer,United States,Detroit,Michigan,48227,Central,OFF-AR-7342-847,Office Supplies,Art,Newell 322,1922.0812,9,0.2,-342.0443,US-2023-998384,24-04-2022,,,
Standard Class,Home Office,United States,Dallas,Texas,75220,Central,TEC-AC-4249-927,Technology,Accessories,Bretford Conference Table,2365.4952,14,0.3,-438.7602,US-2021-917370,24-02-2022,,,
Second Class,Home Office,United States,Henderson,Kentucky,42420,South,FUR-BO-7377-466,Furniture,Bookcases,Hon Deluxe Fabric Chair,279.828,9,0.3,-135.485,US-2023-255912,14-10-2022,,,
Same Day,Corporate,United States,Columbus,Ohio,43229,East,FUR-TA-1830-943,Furniture,Tables,Belkin Surge Protector,1460.0739,13,0.1,-439.7205,US-2021-349910,13-11-2022,,,
First Class,Corporate,United States,Seattle,Washington,98103,West,TEC-MA-8867-223,Technology,Machines,Newell 322,1659.6497,6,0.4,-381.5693,US-2023-172120,N/A,,,
Standard Class,Home Office,United States,Fort Lauderdale,Florida,33311,South,FUR-CH-3022-409,Furniture,Chairs,Logitech Wireless Mouse,50.299,11,0.6,16.8792,US-2022-804437,25-08-2024,,,
Same Day,Home Office,United States,Henderson,Kentucky,42420,South,OFF-PA-6848-444,Office Supplies,Paper,3M Storage Bin,1554.0331,9,0.8,421.4639,US-2023-779580,05-10-2024,,,
Same Day,Home Office,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-7388-805,Office Supplies,Storage,Logitech Wireless Mouse,368.0412,13,0.8,14.6717,US-2021-623729,07-07-2024,,,
Second Class,Corporate,United States,Chicago,Illinois,60623,Central,TEC-CO-6359-846,Technology,Copiers,Global Push Button Manager Chair,2698.8649,6,0.1,-1221.2388,US-2021-946784,28-01-2022,,,
First Class,Corporate,United States,Chicago,Illinois,60623,Central,OFF-AP-1445-451,Office Supplies,Appliances,Cisco IP Phone,2728.4016,1,0.1,-1163.759,US-2024-610235,11-04-2020,,,
Second Class,Corporate,United States,Houston,Texas,77036,Central,OFF-ST-1235-553,Office Supplies,Storage,Xerox 1967,1511.4145,14,0.1,754.8533,US-2023-155077,06-01-2023,,,
Standard Class,Consumer,United States,New York City,New York,10024,East,TEC-AC-9241-790,Technology,Accessories,Bush Somerset Bookcase,1691.1875,3,0.8,-607.4855,US-2020-669562,26-01-2021,,,
First Class,Home Office,United States,San Francisco,California,94109,West,TEC-CO-3009-512,Technology,Copiers,Bretford Conference Table,2691.0721,8,0.15,-1233.7664,US-2024-734091,06-09-2023,,,
First Class,Consumer,United States,San Francisco,California,94109,West,TEC-CO-2926-139,Technology,Copiers,Newell 322,2080.9254,2,0,226.2813,US-2021-239404,03-09-2023,,,
Second Class,Home Office,United States,Columbus,Ohio,43229,East,TEC-AC-1570-505,Technology,Accessories,Hon Deluxe Fabric Chair,958.9131,9,0.15,-312.9885,US-2021-220481,03-02-2023,,,
Same Day,Corporate,United States,San Francisco,California,94109,West,FUR-TA-8550-175,Furniture,Tables,Logitech Wireless Mouse,861.7882,10,0.1,384.7662,US-2022-190324,25-09-2024,,,
First Class,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-6356-398,Office Supplies,Binders,Belkin Surge Protector,1495.4166,4,0.8,120.0762,US-2020-330861,11-08-2024,,,
Second Class,Home Office,United States,Jacksonville,Florida,32216,South,OFF-BI-5753-678,Office Supplies,Binders,Bush Somerset Bookcase,1769.4454,1,0,-637.031,US-2021-277045,08-05-2021,,,
Second Class,Consumer,United States,Jacksonville,Florida,N/A_ZIP,South,TEC-MA-7663-522,Technology,Machines,Belkin Surge Protector,2597.8653,14,0.4,-1158.4451,US-2022-866881,01-09-2024,,,
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,TEC-CO-1918-960,Technology,Copiers,Apple iPhone,2688.2053,2,0.2,372.1594,US-2022-750701,26-03-2024,,,
Same Day,Corporate,United States,Fort Lauderdale,Florida,33311,South,TEC-AC-5512-249,Technology,Accessories,Newell 322,1448.224,11,0.8,417.4975,US-2021-673873,22-08-2024,,,
Same Day,Home Office,United States,Seattle,Washington,98103,West,OFF-AR-7107-641,Office Supplies,Art,3M Storage Bin,215.7396,2,0.15,54.5026,US-2021-304274,15-04-2021,,,
Standard Class,Corporate,United States,Henderson,Kentucky,42420,South,FUR-CH-8311-493,Furniture,Chairs,Fellowes Binder,1702.0308,4,0.45,-812.5266,US-2023-825322,26-05-2023,,,
First Class,Corporate,United States,Newark,New Jersey,7114,East,TEC-CO-4378-322,Technology,Copiers,Hon Deluxe Fabric Chair,2097.2406,2,0.15,-153.3568,US-2024-485763,04-03-2020,TOO,MANY,COLUMNS
First Class,Consumer,United States,Newark,New Jersey,7114,East,TEC-MA-8731-927,Technology,Machines,Hon Deluxe Fabric Chair,2828.9331,4,0.8,476.8965,US-2021-944313,14-03-2024,,,
Standard Class,Home Office,United States,New York City,New York,10024,East,OFF-ST-6351-247,Office Supplies,Storage,Bush Somerset Bookcase,1157.0206,6,0,179.7662,US-2022-835896,16-08-2024,EXTRA_COLUMN_HERE,ANOTHER_EXTRA_VALUE,
Second Class,Consumer,United States,Dallas,Texas,75220,Central,TEC-MA-9235-817,Technology,Machines,Apple iPhone,87.1802,7,0.6,-25.8103,US-2024-655748,26-03-2020,,,
Standard Class,Consumer,United States,Columbus,Ohio,ZIPCODE,East,OFF-PA-8443-351,Office Supplies,Paper,Newell 322,2745.3761,12,0.45,928.6154,US-2022-377459,06-03-2024,,,
Second Class,Corporate,United States,Columbus,Ohio,43229,East,TEC-AC-5660-344,Technology,Accessories,Fellowes Binder,2132.0216,8,0.1,-961.1452,US-2022-618802,16-09-2022,,,
First Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,TEC-MA-6274-967,Technology,Machines,Fellowes Binder,1635.6344,2,,,,,,,
Standard Class,Home Office,United States,Seattle,Washington,98103,West,TEC-MA-7497-816,Technology,Machines,Cisco IP Phone,325.7246,10,0.45,-64.007,US-2024-870443,28-11-2020,,,
First Class,Home Office,United States,Chicago,Illinois,60623,Central,FUR-BO-1993-282,Furniture,Bookcases,Fellowes Binder,863.2483,7,0.8,241.0098,US-2022-275980,02-10-2023,,,
Second Class,Consumer,United States,Columbus,Ohio,43229,East,TEC-CO-2476-587,Technology,Copiers,Bush Somerset Bookcase,2164.8019,9,0.1,-71.0667,US-2024-418965,17-11-2021,,,
Same Day,Home Office,United States,Fort Lauderdale,Florida,33311,South,TEC-CO-7413-885,Technology,Copiers,Logitech Wireless Mouse,2355.5354,7,0.8,27.3428,US-2023-656367,17-07-2022,,,
Standard Class,Consumer,United States,New York City,New York,10024,East,OFF-AR-5446-888,Office Supplies,Art,Xerox 1967,2400.451,6,0,757.7947,US-2021-539663,23-08-2021,,,
First Class,Home Office,United States,Detroit,Michigan,48227,Central,OFF-BI-8214-858,Office Supplies,Binders,Logitech Wireless Mouse,1462.1803,7,,,,,,,
Same Day,Consumer,United States,Newark,New Jersey,7114,East,FUR-BO-4259-777,Furniture,Bookcases,Bush Somerset Bookcase,1898.3206,14,0.2,-740.9393,US-2024-684131,17-05-2024,,,
First Class,Consumer,United States,Chicago,Illinois,60623,Central,OFF-AP-3598-110,Office Supplies,Appliances,Belkin Surge Protector,unknown,2,0,-1068.0422,US-2024-907331,14-11-2023,,,
Same Day,Consumer,United States,Los Angeles,California,90036,West,TEC-AC-9485-534,Technology,Accessories,Bretford Conference Table,2907.3052,2,0.1,503.4272,US-2020-605221,08-05-2023,,,
Second Class,Home Office,United States,Houston,Texas,77036,Central,FUR-CH-3175-607,Furniture,Chairs,Fellowes Binder,112.4832,3,0.4,-65.1117,US-2023-496391,19-01-2020,,,
Same Day,Consumer,United States,San Francisco,California,94109,West,OFF-ST-9987-192,Office Supplies,Storage,HP Officejet Printer,1439.0753,6,0.2,-326.6027,US-2021-167894,22-02-2022,,,
Standard Class,Home Office,United States,Dallas,Texas,75220,Central,FUR-BO-2985-814,Furniture,Bookcases,Bretford Conference Table,902.1686,2,0.3,355.8175,US-2020-466724,01-05-2023,TOO,MANY,COLUMNS
Second Class,Consumer,United States,Houston,Texas,77036,Central,OFF-AP-4680-156,Office Supplies,Appliances,HP Officejet Printer,2347.7843,9,0.6,-162.2682,US-2020-817652,17-09-2024,,,
First Class,Consumer,United States,Detroit,Michigan,48227,Central,TEC-CO-5116-823,Technology,Copiers,Bretford Conference Table,41.0757,12,0,-9.5544,US-2020-555402,22-04-2024,,,
Standard Class,Corporate,United States,Henderson,Kentucky,42420,South,OFF-AR-5555-880,Office Supplies,Art,Fellowes Binder,893.9826,5,0.45,-477.6851,US-2023-303045,03-07-2020,,,
Standard Class,Corporate,United States,Houston,Texas,77036,Central,OFF-BI-5470-674,Office Supplies,Binders,Belkin Surge Protector,1916.9122,5,0.6,-905.3744,US-2021-946630,18-10-2021,,,
Second Class,Corporate,United States,Chicago,Illinois,60623,Central,TEC-MA-2377-136,Technology,Machines,Bush Somerset Bookcase,2289.8946,7,0.6,-113.2157,US-2024-514460,27-10-2022,,,
First Class,Consumer,United States,Chicago,Illinois,60623,Central,FUR-BO-6995-231,Furniture,Bookcases,Xerox 1967,1690.648,7,0.3,9.8692,US-2024-332115,07-10-2021,,,
Second Class,Consumer,United States,Columbus,Ohio,43229,East,OFF-AR-5302-418,Office Supplies,Art,Cisco IP Phone,$1200,8,0,137.6659,US-2021-698807,20-05-2021,,,
Same Day,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-7942-269,Furniture,Furnishings,Logitech Wireless Mouse,2914.9235,9,0,-163.2712,US-2022-230059,16-04-2023,,,
Same Day,Corporate,United States,Philadelphia,Pennsylvania,19140,East,TEC-PH-4977-217,Technology,Phones,Belkin Surge Protector,2523.1144,14,0.3,-1168.678,US-2022-316994,11-04-2022,,,
Same Day,Consumer,United States,San Francisco,California,94109,West,TEC-MA-4912-527,Technology,Machines,Cisco IP Phone,2508.3009,9,0,872.2766,US-2021-561736,03-07-2023,,,
Standard Class,Corporate,United States,Houston,Texas,77036,Central,TEC-AC-5752-748,Technology,Accessories,Logitech Wireless Mouse,2242.5279,8,0,1088.2347,US-2023-514317,yesterday,,,
First Class,Consumer,United States,San Francisco,California,94109,West,FUR-FU-2574-701,Furniture,Furnishings,Bush Somerset Bookcase,2704.9963,1,0.4,-1481.4696,US-2024-623597,14-07-2024,,,
Standard Class,Home Office,United States,San Francisco,California,94109,West,FUR-FU-8287-285,Furniture,Furnishings,Apple iPhone,1733.3259,1,0.15,-400.943,US-2022-498402,yesterday,,,
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,TEC-MA-7321-272,Technology,Machines,Cisco IP Phone,1797.3634,5,0,-479.3704,US-2021-283809,07-02-2020,,,
First Class,Consumer,United States,Los Angeles,California,90036,West,FUR-FU-3308-778,Furniture,Furnishings,HP Officejet Printer,1421.2343,2,0,-458.188,US-2020-256624,19-03-2021,,,
First Class,Corporate,United States,Newark,New Jersey,7114,East,FUR-FU-5659-177,Furniture,Furnishings,Eldon Fold N Roll Cart,970.1258,11,0.1,-386.5154,US-2020-919292,11-03-2021,,,
First Class,Home Office,United States,Henderson,Kentucky,42420,South,OFF-PA-5371-487,Office Supplies,Paper,Global Push Button Manager Chair,210.1167,8,0.3,103.6392,US-2024-338654,13-10-2024,,,
Standard Class,Home Office,United States,Dallas,Texas,75220,Central,FUR-CH-9103-922,Furniture,Chairs,Xerox 1967,2454.229,6,0,-153.6972,US-2024-362793,26-12-2020,TOO,MANY,COLUMNS
Standard Class,Consumer,United States,San Francisco,California,94109,West,FUR-CH-7299-890,Furniture,Chairs,HP Officejet Printer,688.5702,7,0.15,-109.6311,US-2022-233325,28-09-2020,,,
Standard Class,Corporate,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-2770-777,Office Supplies,Storage,Global Push Button Manager Chair,636.2353,7,0.4,4.3873,US-2021-528901,04-12-2020,,,
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,FUR-TA-8668-781,Furniture,Tables,Hon Deluxe Fabric Chair,2447.3335,10,0.15,596.5335,US-2024-837732,09-06-2022,,,
Same Day,Consumer,United States,Columbus,Ohio,43229,East,OFF-AR-6664-228,Office Supplies,Art,Global Push Button Manager Chair,N/A_BAD_VALUE,10,0.15,180.3914,US-2021-874556,12-04-2020,,,
Second Class,Home Office,United States,Los Angeles,California,90036,West,TEC-CO-6612-622,Technology,Copiers,Hon Deluxe Fabric Chair,1491.7201,14,0.1,715.0334,US-2023-332093,19-02-2021,,,
Standard Class,Corporate,United States,New York City,New York,10024,East,TEC-MA-5444-143,Technology,Machines,Eldon Fold N Roll Cart,459.0144,12,0,80.5723,US-2023-982973,22-11-2022,,,
Standard Class,Consumer,United States,San Francisco,California,94109,West,FUR-CH-4118-390,Furniture,Chairs,Global Push Button Manager Chair,425.1388,12,0,-12.6353,US-2024-712435,23-09-2021,,,
Second Class,Corporate,United States,Jacksonville,Florida,32216,South,FUR-BO-2056-136,Furniture,Bookcases,Eldon Fold N Roll Cart,2835.0374,1,0.15,-276.3635,US-2022-233004,24-06-2021,,,
Standard Class,Corporate,United States,Newark,New Jersey,7114,East,OFF-AP-7403-182,Office Supplies,Appliances,Bretford Conference Table,2831.0214,3,0,826.0987,US-2023-825477,04-05-2022,,,
Standard Class,Home Office,United States,San Francisco,California,94109,West,TEC-AC-8041-643,Technology,Accessories,Cisco IP Phone,1105.5171,11,0.3,-456.1586,US-2020-579955,21-03-2020,EXTRA_COLUMN_HERE,ANOTHER_EXTRA_VALUE,
Second Class,Corporate,United States,Fort Worth,Texas,76106,Central,OFF-AP-9974-605,Office Supplies,Appliances,Eldon Fold N Roll Cart,1868.3865,13,0.45,550.5533,US-2021-960055,15-05-2021,,,
First Class,Home Office,United States,Newark,New Jersey,7114,East,FUR-BO-9998-909,Furniture,Bookcases,Xerox 1967,1124.2765,10,0.8,369.3377,US-2020-204548,01-02-2021,,,
First Class,Consumer,United States,Chicago,Illinois,60623,Central,OFF-AR-8857-131,Office Supplies,Art,HP Officejet Printer,134.0655,10,0.8,-53.9449,US-2022-211598,22-08-2021,,,
Same Day,Home Office,United States,Jacksonville,Florida,32216,South,FUR-CH-8904-429,Furniture,Chairs,Logitech Wireless Mouse,2240.3496,1,0.8,1043.0752,US-2023-516692,27-07-2023,,,
Same Day,Corporate,United States,New York City,New York,10024,East,FUR-TA-5415-341,Furniture,Tables,Hon Deluxe Fabric Chair,2923.1404,1,0.1,1020.4522,US-2022-437867,19-04-2020,,,
Same Day,Home Office,United States,Columbus,Ohio,43229,East,FUR-FU-5866-466,Furniture,Furnishings,Bretford Conference Table,1256.1277,13,0,-510.4039,US-2023-912926,08-08-2022,,,
First Class,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-3695-264,Office Supplies,Binders,Logitech Wireless Mouse,2126.0474,13,0.6,-81.6815,US-2020-652860,01-01-2021,,,
Standard Class,Corporate,United States,Henderson,Kentucky,42420,South,TEC-PH-1979-888,Technology,Phones,Bush Somerset Bookcase,2755.8956,14,0.3,1031.4033,US-2022-538867,02-03-2020,,,
Same Day,Corporate,United States,Chicago,Illinois,60623,Central,TEC-PH-4278-610,Technology,Phones,Cisco IP Phone,1124.03,10,0.6,191.5123,US-2023-808467,25-08-2023,,,
Same Day,Consumer,United States,Columbus,Ohio,43229,East,TEC-CO-3757-925,Technology,Copiers,Bretford Conference Table,1230.5306,14,0.6,-294.7113,US-2023-171407,08-03-2022,,,
First Class,Corporate,United States,Newark,New Jersey,7114,East,TEC-PH-3203-575,Technology,Phones,Apple iPhone,2554.9243,12,0.1,-1106.2411,US-2022-803702,25-05-2023,,,
Second Class,Home Office,United States,Newark,New Jersey,7114,East,FUR-FU-6685-823,Furniture,Furnishings,Global Push Button Manager Chair,1561.9235,14,0.3,148.5886,US-2021-438894,19-09-2024,,,
Second Class,Home Office,United States,Detroit,Michigan,48227,Central,OFF-AP-3863-504,Office Supplies,Appliances,HP Officejet Printer,2316.0889,7,0.6,-1378.312,US-2023-978030,15-08-2022,,,
